G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,VL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,VL,,,,,,,,,,,,,,,,,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,VL
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,G3,G4,G4,G4,G4,G4,G5,G5,G6,G6,G6,G6,G6,G6,G6,G6,G6,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,G3,G3,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,VL,,,,,,,,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G4,G4,G4,G5,G6,G6,G6,G6,G6,G6,VL
G1,G1,G1,G1,G1,G1,G1,G1,G2,VL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,G3,G3,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,G3,G3,VL
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G4,G4,G4,G4,G4,G4,G4,G4,G4,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,VL,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G4,G4,G4,G4,G4,G4,G4,VL
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G4,G4,G4,G5,G6,VL,,,,,
G1,G1,G1,G1,G1,G1,VL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,VL
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G3,G3,G3,G3,G3,G3,G3,G3,G4,VL
G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,VL,,,,,,,,,,,,,,,,,,,,,,,,,,
